case,axis,axis_level,replicate,method,metric,value
sample_replicate_axis,sample_seed_replicate,2,rep2,sgs,mse,4.549480436787661
sample_replicate_axis,sample_seed_replicate,2,rep2,sgs,umg,0.9937780497756018
sample_replicate_axis,sample_seed_replicate,2,rep2,sgs,variance_mean,5.63997773988905
sample_replicate_axis,sample_seed_replicate,2,rep3,gp_mle,mse,4.96434156100625
sample_replicate_axis,sample_seed_replicate,2,rep3,gp_mle,umg,0.8037551020408163
sample_replicate_axis,sample_seed_replicate,2,rep3,gp_mle,variance_mean,3.8557888107096545
sample_replicate_axis,sample_seed_replicate,2,rep3,kriging,mse,4.150304864920833
sample_replicate_axis,sample_seed_replicate,2,rep3,kriging,umg,0.9908635875402793
sample_replicate_axis,sample_seed_replicate,2,rep3,kriging,variance_mean,5.141030538978716
sample_replicate_axis,sample_seed_replicate,2,rep3,rbf_bootstrap,mse,4.751188489553921
sample_replicate_axis,sample_seed_replicate,2,rep3,rbf_bootstrap,umg,0.5918775510204082
sample_replicate_axis,sample_seed_replicate,2,rep3,rbf_bootstrap,variance_mean,1.160369834976247
sample_replicate_axis,sample_seed_replicate,2,rep3,sgs,mse,4.618574906678915
sample_replicate_axis,sample_seed_replicate,2,rep3,sgs,umg,0.9616734693877551
sample_replicate_axis,sample_seed_replicate,2,rep3,sgs,variance_mean,4.7435029899348
sample_replicate_axis,sample_seed_replicate,2,rep4,gp_mle,mse,3.821220016802404
sample_replicate_axis,sample_seed_replicate,2,rep4,gp_mle,umg,0.994102817173386
sample_replicate_axis,sample_seed_replicate,2,rep4,gp_mle,variance_mean,3.9663580333851853
sample_replicate_axis,sample_seed_replicate,2,rep4,kriging,mse,3.915051000381666
sample_replicate_axis,sample_seed_replicate,2,rep4,kriging,umg,0.9431308601712189
sample_replicate_axis,sample_seed_replicate,2,rep4,kriging,variance_mean,6.115889341248794
sample_replicate_axis,sample_seed_replicate,2,rep4,rbf_bootstrap,mse,4.48099680675148
sample_replicate_axis,sample_seed_replicate,2,rep4,rbf_bootstrap,umg,0.5558499796167957
sample_replicate_axis,sample_seed_replicate,2,rep4,rbf_bootstrap,variance_mean,1.156765696289299
sample_replicate_axis,sample_seed_replicate,2,rep4,sgs,mse,4.424889170023437
sample_replicate_axis,sample_seed_replicate,2,rep4,sgs,umg,0.9812753449052718
sample_replicate_axis,sample_seed_replicate,2,rep4,sgs,variance_mean,6.086682098926774
sample_replicate_axis,sample_seed_replicate,2,rep5,gp_mle,mse,4.538262308352438
sample_replicate_axis,sample_seed_replicate,2,rep5,gp_mle,umg,0.9778399570354457
sample_replicate_axis,sample_seed_replicate,2,rep5,gp_mle,variance_mean,5.043058994194065
sample_replicate_axis,sample_seed_replicate,2,rep5,kriging,mse,4.923496132488349
sample_replicate_axis,sample_seed_replicate,2,rep5,kriging,umg,0.9670375939849625
sample_replicate_axis,sample_seed_replicate,2,rep5,kriging,variance_mean,4.945421386634185
sample_replicate_axis,sample_seed_replicate,2,rep5,rbf_bootstrap,mse,5.414654272882767
sample_replicate_axis,sample_seed_replicate,2,rep5,rbf_bootstrap,umg,0.5919591836734693
sample_replicate_axis,sample_seed_replicate,2,rep5,rbf_bootstrap,variance_mean,1.346782901090426
sample_replicate_axis,sample_seed_replicate,2,rep5,sgs,mse,5.1734331174049055
sample_replicate_axis,sample_seed_replicate,2,rep5,sgs,umg,0.9149387755102041
sample_replicate_axis,sample_seed_replicate,2,rep5,sgs,variance_mean,4.6650109896537915
sample_replicate_axis,sample_seed_replicate,2,rep6,gp_mle,mse,4.611637183324444
sample_replicate_axis,sample_seed_replicate,2,rep6,gp_mle,umg,0.8549387755102041
sample_replicate_axis,sample_seed_replicate,2,rep6,gp_mle,variance_mean,3.143049777338081
sample_replicate_axis,sample_seed_replicate,2,rep6,kriging,mse,4.914725142214635
sample_replicate_axis,sample_seed_replicate,2,rep6,kriging,umg,0.9224897959183673
sample_replicate_axis,sample_seed_replicate,2,rep6,kriging,variance_mean,4.331777600569515
sample_replicate_axis,sample_seed_replicate,2,rep6,rbf_bootstrap,mse,11.88543929088148
sample_replicate_axis,sample_seed_replicate,2,rep6,rbf_bootstrap,umg,0.6068979591836734
sample_replicate_axis,sample_seed_replicate,2,rep6,rbf_bootstrap,variance_mean,6.109813327218154
sample_replicate_axis,sample_seed_replicate,2,rep6,sgs,mse,5.5799608194371055
sample_replicate_axis,sample_seed_replicate,2,rep6,sgs,umg,0.8566938775510204
sample_replicate_axis,sample_seed_replicate,2,rep6,sgs,variance_mean,4.165553007966405
sample_replicate_axis,sample_seed_replicate,2,rep7,gp_mle,mse,5.663047970504259
sample_replicate_axis,sample_seed_replicate,2,rep7,gp_mle,umg,0.8560408163265306
sample_replicate_axis,sample_seed_replicate,2,rep7,gp_mle,variance_mean,2.9079941522824826
sample_replicate_axis,sample_seed_replicate,2,rep7,kriging,mse,5.336133947832879
sample_replicate_axis,sample_seed_replicate,2,rep7,kriging,umg,0.8802857142857143
sample_replicate_axis,sample_seed_replicate,2,rep7,kriging,variance_mean,4.048741545010433
sample_replicate_axis,sample_seed_replicate,2,rep7,rbf_bootstrap,mse,4.59902785801518
sample_replicate_axis,sample_seed_replicate,2,rep7,rbf_bootstrap,umg,0.5266530612244898
sample_replicate_axis,sample_seed_replicate,2,rep7,rbf_bootstrap,variance_mean,0.8805755792578154
sample_replicate_axis,sample_seed_replicate,2,rep7,sgs,mse,5.360282920064795
sample_replicate_axis,sample_seed_replicate,2,rep7,sgs,umg,0.8320000000000001
sample_replicate_axis,sample_seed_replicate,2,rep7,sgs,variance_mean,3.7281264203498767
sample_replicate_axis,sample_seed_replicate,2,rep8,gp_mle,mse,3.5812656118298665
sample_replicate_axis,sample_seed_replicate,2,rep8,gp_mle,umg,0.933986128110975
sample_replicate_axis,sample_seed_replicate,2,rep8,gp_mle,variance_mean,5.22897310057931
