axis_level,method,p_interval,fraction_in
1,sgs,0.631578947368421,0.5636363636363636
1,sgs,0.6842105263157894,0.6137373737373737
1,sgs,0.7368421052631579,0.6690909090909091
1,sgs,0.7894736842105263,0.7244444444444444
1,sgs,0.8421052631578947,0.7676767676767676
1,sgs,0.894736842105263,0.8202020202020202
1,sgs,0.9473684210526315,0.8812121212121212
1,sgs,1.0,1.0
1,rbf_bootstrap,0.0,0.0
1,rbf_bootstrap,0.05263157894736842,0.021414141414141413
1,rbf_bootstrap,0.10526315789473684,0.048484848484848485
1,rbf_bootstrap,0.15789473684210525,0.06424242424242424
1,rbf_bootstrap,0.21052631578947367,0.08969696969696969
1,rbf_bootstrap,0.2631578947368421,0.11676767676767677
1,rbf_bootstrap,0.3157894736842105,0.14303030303030304
1,rbf_bootstrap,0.3684210526315789,0.16606060606060605
1,rbf_bootstrap,0.42105263157894735,0.19353535353535353
1,rbf_bootstrap,0.47368421052631576,0.21818181818181817
1,rbf_bootstrap,0.5263157894736842,0.24404040404040403
1,rbf_bootstrap,0.5789473684210527,0.2682828282828283
1,rbf_bootstrap,0.631578947368421,0.2925252525252525
1,rbf_bootstrap,0.6842105263157894,0.3212121212121212
1,rbf_bootstrap,0.7368421052631579,0.3511111111111111
1,rbf_bootstrap,0.7894736842105263,0.38303030303030305
1,rbf_bootstrap,0.8421052631578947,0.42383838383838385
1,rbf_bootstrap,0.894736842105263,0.4618181818181818
1,rbf_bootstrap,0.9473684210526315,0.5086868686868686
1,rbf_bootstrap,1.0,0.9903030303030304
1,gp_mle,0.0,0.0
1,gp_mle,0.05263157894736842,0.055353535353535356
1,gp_mle,0.10526315789473684,0.10101010101010101
1,gp_mle,0.15789473684210525,0.15272727272727274
1,gp_mle,0.21052631578947367,0.20484848484848484
1,gp_mle,0.2631578947368421,0.25616161616161615
1,gp_mle,0.3157894736842105,0.31434343434343437
1,gp_mle,0.3684210526315789,0.3652525252525253
1,gp_mle,0.42105263157894735,0.4125252525252525
1,gp_mle,0.47368421052631576,0.4581818181818182
1,gp_mle,0.5263157894736842,0.5123232323232323
1,gp_mle,0.5789473684210527,0.5571717171717172
1,gp_mle,0.631578947368421,0.6028282828282828
1,gp_mle,0.6842105263157894,0.6561616161616162
1,gp_mle,0.7368421052631579,0.7151515151515152
1,gp_mle,0.7894736842105263,0.7640404040404041
1,gp_mle,0.8421052631578947,0.814949494949495
1,gp_mle,0.894736842105263,0.8703030303030304
1,gp_mle,0.9473684210526315,0.9418181818181818
1,gp_mle,1.0,1.0
5,kriging,0.0,0.0
5,kriging,0.0526315789473684,0.0508617065994115
5,kriging,0.1052631578947368,0.0954182429592265
5,kriging,0.1578947368421052,0.1408154686843211
5,kriging,0.2105263157894736,0.1929382093316519
5,kriging,0.2631578947368421,0.2404371584699453
5,kriging,0.3157894736842105,0.2971836906263135
5,kriging,0.3684210526315789,0.346364018495166
5,kriging,0.4210526315789473,0.3921815889029004
5,kriging,0.4736842105263157,0.4396805380411938
5,kriging,0.5263157894736842,0.4939050021017234
5,kriging,0.5789473684210527,0.5435056746532156
5,kriging,0.631578947368421,0.5901639344262295
5,kriging,0.6842105263157894,0.6443883984867591
5,kriging,0.7368421052631579,0.6918873476250526
5,kriging,0.7894736842105263,0.7431693989071039
5,kriging,0.8421052631578947,0.7961328289197142
5,kriging,0.894736842105263,0.8650693568726355
5,kriging,0.9473684210526316,0.926860025220681
5,kriging,1.0,1.0
5,sgs,0.0,0.0
5,sgs,0.0526315789473684,0.0479192938209331
5,sgs,0.1052631578947368,0.087431693989071
5,sgs,0.1578947368421052,0.1403951240016814
5,sgs,0.2105263157894736,0.1895754518705338
5,sgs,0.2631578947368421,0.2353930222782682
5,sgs,0.3157894736842105,0.2782681799075241
5,sgs,0.3684210526315789,0.3257671290458175
5,sgs,0.4210526315789473,0.3736864228667507
5,sgs,0.4736842105263157,0.416141235813367
5,sgs,0.5263157894736842,0.4649012189995796
5,sgs,0.5789473684210527,0.5098781000420345
5,sgs,0.631578947368421,0.560739806641446
5,sgs,0.6842105263157894,0.6116015132408575
5,sgs,0.7368421052631579,0.648171500630517
5,sgs,0.7894736842105263,0.7061790668348046
5,sgs,0.8421052631578947,0.7595628415300546
5,sgs,0.894736842105263,0.8116855821773854
5,sgs,0.9473684210526316,0.8764186633039092
5,sgs,1.0,0.9995796553173604
5,rbf_bootstrap,0.0,0.0
5,rbf_bootstrap,0.0526315789473684,0.0163934426229508
5,rbf_bootstrap,0.1052631578947368,0.0323665405632618
5,rbf_bootstrap,0.1578947368421052,0.0483396385035729
5,rbf_bootstrap,0.2105263157894736,0.0630517023959646
5,rbf_bootstrap,0.2631578947368421,0.0744010088272383
5,rbf_bootstrap,0.3157894736842105,0.0836485918453131
5,rbf_bootstrap,0.3684210526315789,0.1029844472467423
5,rbf_bootstrap,0.4210526315789473,0.1193778898696931
5,rbf_bootstrap,0.4736842105263157,0.1382934005884825
5,rbf_bootstrap,0.5263157894736842,0.1597309794031105
5,rbf_bootstrap,0.5789473684210527,0.1790668348045397
5,rbf_bootstrap,0.631578947368421,0.1984026902059689
5,rbf_bootstrap,0.6842105263157894,0.2236233711643547
5,rbf_bootstrap,0.7368421052631579,0.2459016393442623
5,rbf_bootstrap,0.7894736842105263,0.2770071458596049
