axis_level,method,p_interval,fraction_in
200,gp_mle,0.3684210526315789,0.3442622950819672
200,gp_mle,0.42105263157894735,0.39722572509457754
200,gp_mle,0.47368421052631576,0.4468263976460698
200,gp_mle,0.5263157894736842,0.49978982765868013
200,gp_mle,0.5789473684210527,0.5540142917192098
200,gp_mle,0.631578947368421,0.6094997898276587
200,gp_mle,0.6842105263157894,0.6519546027742749
200,gp_mle,0.7368421052631579,0.7015552753257671
200,gp_mle,0.7894736842105263,0.7528373266078184
200,gp_mle,0.8421052631578947,0.8108448928121059
200,gp_mle,0.894736842105263,0.8747372845733501
200,gp_mle,0.9473684210526315,0.9327448507776377
200,gp_mle,1.0,1.0
400,kriging,0.0,0.0
400,kriging,0.05263157894736842,0.04455653635981505
400,kriging,0.10526315789473684,0.08701134930643127
400,kriging,0.15789473684210525,0.14081546868432115
400,kriging,0.21052631578947367,0.18705338377469524
400,kriging,0.2631578947368421,0.24632198402690206
400,kriging,0.3157894736842105,0.29970575872215216
400,kriging,0.3684210526315789,0.3514081546868432
400,kriging,0.42105263157894735,0.41151744430432957
400,kriging,0.47368421052631576,0.4640605296343001
400,kriging,0.5263157894736842,0.5094577553593947
400,kriging,0.5789473684210527,0.5598991172761665
400,kriging,0.631578947368421,0.6153846153846154
400,kriging,0.6842105263157894,0.6704497688104245
400,kriging,0.7368421052631579,0.7242538881883144
400,kriging,0.7894736842105263,0.7847835224884405
400,kriging,0.8421052631578947,0.8352248844052123
400,kriging,0.894736842105263,0.8860865910046238
400,kriging,0.9473684210526315,0.9394703656998739
400,kriging,1.0,1.0
400,sgs,0.0,0.0
400,sgs,0.05263157894736842,0.04623791509037411
400,sgs,0.10526315789473684,0.0975199663724254
400,sgs,0.15789473684210525,0.1534258091635141
400,sgs,0.21052631578947367,0.2114333753678016
400,sgs,0.2631578947368421,0.2526271542664985
400,sgs,0.3157894736842105,0.30096679277007143
400,sgs,0.3684210526315789,0.3467843631778058
400,sgs,0.42105263157894735,0.39596469104665827
